Date,Workout,Exercise,Weight,Sets,Reps
2017-02-23,Power Upper,Overhead Press,70,3,7
2017-02-27,Power Upper,Overhead Press,70,3,7
2017-03-06,Power Upper,Overhead Press,60,3,8
2017-03-13,Power Upper,Overhead Press,60,3,8
2017-03-23,Power Upper,Overhead Press,70,3,6
2017-03-27,Power Upper,Overhead Press,70,3,7
2017-04-03,Power Upper,Overhead Press,70,3,8
2017-04-09,Power Upper,Overhead Press,70,3,8
2017-04-20,Power Upper,Overhead Press,70,3,8
2017-04-24,Power Upper,Overhead Press,70,3,8
2017-05-01,Power Upper,Overhead Press,70,3,8
2017-05-09,Power Upper,Overhead Press,70,3,7
2017-05-15,Power Upper,Overhead Press,70,3,6
2017-06-01,Power Upper,Overhead Press,60,3,8
2017-06-05,Power Upper,Overhead Press,60,3,8
2017-06-12,Power Upper,Overhead Press,60,3,8
2017-06-17,Power Upper,Overhead Press,60,3,8
2017-06-26,Power Upper,Overhead Press,70,3,6
2017-07-18,Power Upper,Overhead Press,60,3,8
2017-07-25,Power Upper,Overhead Press,60,3,8
2017-07-31,Power Upper,Overhead Press,60,3,8
2017-08-10,Power Upper,Overhead Press,60,3,8
2017-08-14,Power Upper,Overhead Press,60,3,8
2017-08-21,Power Upper,Overhead Press,70,3,6
2017-08-28,Power Upper,Overhead Press,70,3,8
2017-09-07,Power Upper,Overhead Press,70,3,8
2017-09-11,Power Upper,Overhead Press,70,3,7
2017-09-19,Power Upper,Overhead Press,70,3,7
2017-09-25,Power Upper,Overhead Press,70,3,8
2017-10-04,Power Upper,Overhead Press,70,3,7
2017-10-12,Power Upper,Overhead Press,60,3,8
2017-10-19,Power Upper,Overhead Press,60,3,8
2017-10-26,Power Upper,Overhead Press,60,3,8
2017-11-06,Power Upper,Overhead Press,60,3,8
2016-12-26,Power Upper,Barbell Curl,50,2,10
2017-01-02,Power Upper,Barbell Curl,50,2,10
2017-01-09,Power Upper,Barbell Curl,50,3,10
2017-01-16,Power Upper,Barbell Curl,50,3,10
2017-01-23,Power Upper,Barbell Curl,50,3,10
2017-01-30,Power Upper,Barbell Curl,50,3,10
2017-02-06,Power Upper,Barbell Curl,60,3,8
2017-02-13,Power Upper,Barbell Curl,60,3,10
2017-02-23,Power Upper,Barbell Curl,60,3,10
2017-02-27,Power Upper,Barbell Curl,60,3,10
2017-03-06,Power Upper,Barbell Curl,60,3,10
2017-03-13,Power Upper,Barbell Curl,60,3,10
2017-03-23,Power Upper,Barbell Curl,60,3,10
2017-03-27,Power Upper,Barbell Curl,60,3,10
2017-04-03,Power Upper,Barbell Curl,60,3,10
2017-04-09,Power Upper,Barbell Curl,60,3,10
2017-04-20,Power Upper,Barbell Curl,70,3,7
2017-04-24,Power Upper,Barbell Curl,70,3,8
2017-05-01,Power Upper,Barbell Curl,70,3,8
2017-05-09,Power Upper,Barbell Curl,70,3,8
2017-05-15,Power Upper,Barbell Curl,70,3,8
2017-06-01,Power Upper,Barbell Curl,60,3,10
2017-06-05,Power Upper,Barbell Curl,60,3,10
2017-06-12,Power Upper,Barbell Curl,60,3,10
2017-06-17,Power Upper,Barbell Curl,60,3,10
2017-06-26,Power Upper,Barbell Curl,60,3,10
2017-07-18,Power Upper,Barbell Curl,60,3,10
2017-07-25,Power Upper,Barbell Curl,50,3,10
2017-07-31,Power Upper,Barbell Curl,60,3,10
2017-08-10,Power Upper,Barbell Curl,60,3,10
2017-08-14,Power Upper,Barbell Curl,60,3,10
2017-08-21,Power Upper,Barbell Curl,60,3,10
2017-08-28,Power Upper,Barbell Curl,70,3,8
2017-09-07,Power Upper,Barbell Curl,70,3,9
2017-09-11,Power Upper,Barbell Curl,70,3,8
2017-09-19,Power Upper,Barbell Curl,70,3,9
2017-09-25,Power Upper,Barbell Curl,70,3,8
2017-10-04,Power Upper,Barbell Curl,70,3,9
2017-10-12,Power Upper,Barbell Curl,60,3,10
2017-10-19,Power Upper,Barbell Curl,60,3,10
2017-10-26,Power Upper,Barbell Curl,60,3,10
2017-11-06,Power Upper,Barbell Curl,60,3,10
2016-12-26,Power Upper,Skullcrushers,40,2,10
2017-01-02,Power Upper,Skullcrushers,40,2,10
2017-01-09,Power Upper,Skullcrushers,50,3,8
2017-01-16,Power Upper,Skullcrushers,50,3,10
2017-01-23,Power Upper,Skullcrushers,50,3,10
2017-01-30,Power Upper,Skullcrushers,50,3,10
2017-02-06,Power Upper,Skullcrushers,60,3,7
2017-02-13,Power Upper,Skullcrushers,60,3,8
2017-02-23,Power Upper,Skullcrushers,60,3,10
2017-02-27,Power Upper,Skullcrushers,60,3,10
2017-03-06,Power Upper,Skullcrushers,60,3,10
2017-03-13,Power Upper,Skullcrushers,60,3,10
2017-03-23,Power Upper,Skullcrushers,60,3,10
2017-03-27,Power Upper,Skullcrushers,60,3,10
2017-04-03,Power Upper,Skullcrushers,60,3,10
2017-04-09,Power Upper,Skullcrushers,60,3,10
2017-04-20,Power Upper,Skullcrushers,70,3,7
2017-04-24,Power Upper,Skullcrushers,70,3,8
2017-05-01,Power Upper,Skullcrushers,70,3,8
2017-05-09,Power Upper,Skullcrushers,70,3,9
